left_x,left_y,right_x,right_y,mid_x,mid_y
5.545329404602574,-33.61798291497845,1.6572055568353974,-34.10929478182995,3.601267480718986,-33.8636388484042
5.948916140091852,-34.53296247114876,2.0624732292281274,-35.023555869347774,4.00569468465999,-34.77825917024826
6.352424887099682,-35.44797362179024,2.467740901620857,-35.93781695686559,4.4100828943602695,-35.692895289327915
6.699466197371371,-36.38586069934138,2.8284959881435556,-36.87047376819858,4.763981092757463,-36.62816723376998
7.046507507643063,-37.323747776892525,3.1869050652230624,-37.80410011524696,5.116706286433063,-37.56392394606974
7.393548817914754,-38.26163485444368,3.5004862188148858,-38.751796964175725,5.44701751836482,-38.506715909309705
7.740590128186444,-39.199521931994816,3.739891037045358,-39.7227761377134,5.7402405826159,-39.46114903485411
7.938819566564639,-40.179163282058354,3.9792958552758306,-40.69375531125109,5.959057710920235,-40.43645929665472
8.130335161417445,-41.16068843109972,4.2187006735063015,-41.66473448478876,6.174517917461873,-41.41271145794424
8.313127393943667,-42.143865005935226,4.458105491736774,-42.63571365832644,6.38561644284022,-42.38978933213083
8.493632806304309,-43.12747450028805,4.697510309967246,-43.606692831864116,6.595571558135777,-43.367083666076084
8.663214854860357,-44.1128633513221,4.891559452026446,-44.58605297083188,6.777387153443401,-44.34945816107699
8.804207204369733,-45.102909309170684,5.014956895758638,-45.578468354285924,6.909582050064186,-45.3406888317283
8.945199553879114,-46.09295526701929,5.138354339490831,-46.57088373773998,7.041776946684973,-46.331919502379634
9.057733306558811,-47.086421707880504,5.261751783223022,-47.56329912119402,7.159742544890916,-47.32486041453726
9.155357776711712,-48.08168011859597,5.329312680199228,-48.56025774157285,7.24233522845547,-48.320968930084405
9.200057147134205,-49.07939446812501,5.367975404862051,-49.55956771158092,7.284016275998128,-49.319481089852964
9.19502177414146,-50.079416711023306,5.4066381295248735,-50.558877681588974,7.300829951833167,-50.31914719630614
9.189986401148717,-51.07943895392161,5.392214067516499,-51.557839637557734,7.291100234332609,-51.31863929573967
9.184951028155973,-52.079461196819906,5.340453139952717,-52.55655682916586,7.262702084054345,-52.31800901299288
9.171076392095898,-53.07925498558616,5.288692212388935,-53.555274020773965,7.229884302242416,-53.31726450318006
9.124447634713322,-54.078202231569385,5.236931284825153,-54.553991212382094,7.180689459769237,-54.31609672197574
9.077818877330744,-55.077149477552624,5.185170357261371,-55.552708403990216,7.131494617296058,-55.31492894077142
9.031190119948167,-56.07609672353586,5.133409429697589,-56.55142559559834,7.082299774822879,-56.3137611595671
8.984561362565591,-57.075043969519086,5.081648502133807,-57.55014278720646,7.0331049323496995,-57.31259337836278
8.930550597731445,-58.073481695694824,5.029887574570025,-58.548859978814576,6.9802190861507345,-58.3111708372547
8.839492643524347,-59.06936235634053,4.978126647006243,-59.5475771704227,6.908809645265295,-59.30846976338161
8.748434689317246,-60.06524301698625,4.926365719442461,-60.54629436203082,6.837400204379854,-60.30576868950854
8.657376735110148,-61.061123677631954,4.87460479187868,-61.54501155363893,6.765990763494414,-61.30306761563544
8.572466945402715,-62.05754704828439,4.806739375141888,-62.54248138370916,6.689603160272301,-62.300014215996775
8.487659688745488,-63.053979469721384,4.704095723946757,-63.537257490833376,6.595877706346123,-63.29561848027738
8.402852432088261,-64.05041189115838,4.601452072751627,-64.5320335979576,6.502152252419944,-64.29122274455798
8.322787094768533,-65.04722977894279,4.498808421556497,-65.52680970508182,6.410797758162515,-65.2870197420123
8.245546167529929,-66.04427726047605,4.396164770361367,-66.52158581220603,6.320855468945648,-66.28293153634104
8.168305240291323,-67.04132474200934,4.293521119166239,-67.51636191933024,6.2309131797287804,-67.27884333066979
8.091064313052717,-68.0383722235426,4.1908774679711085,-68.51113802645446,6.1409708905119125,-68.27475512499853
8.004504700424478,-69.0346060430771,4.08823381677598,-69.50591413357866,6.04636925860023,-69.27026008832789
7.907779561624174,-70.02995225862051,3.986017264113114,-70.50073257842251,5.946898412868644,-70.26534241852151
7.81105442282387,-71.0252984741639,3.891360717780718,-71.49630043681907,5.851207570302294,-71.26079945549148
7.713460999978868,-72.02055844656324,3.7967041714483223,-72.49186829521562,5.755082585713595,-72.25621337088944
7.612500491700425,-73.01548397997801,3.7020476251159264,-73.48743615361218,5.657274058408175,-73.25146006679509
7.511539983421981,-74.01040951339279,3.6046317406244803,-74.48272623779758,5.558085862023231,-74.24656787559519
7.410579475143536,-75.00533504680757,3.498958330992643,-75.47718506194903,5.454768903068089,-75.2412600543783
7.309618966865093,-76.00026058022235,3.393284921360809,-76.47164388610047,5.351451944112951,-76.23595223316141
7.208658458586649,-76.99518611363712,3.287611511728975,-77.46610271025189,5.248134985157812,-77.2306444119445
7.107248340090473,-77.9900649691954,3.1819381020971376,-78.46056153440334,5.144593221093805,-78.22531325179938
7.001675219879521,-78.98451162817791,3.076264692465303,-79.45502035855476,5.038969956172412,-79.21976599336634
6.896102099668572,-79.9789582871604,2.9705912828334675,-80.4494791827062,4.933346691251019,-80.2142187349333
6.790528979457623,-80.97340494614289,2.8649178732016316,-81.44393800685765,4.827723426329627,-81.20867147650027
6.6849558592466725,-81.96785160512538,2.759244463569796,-82.43839683100909,4.7221001614082345,-82.20312421806723
6.579382739035721,-82.96229826410787,2.665094323367193,-83.43400950003519,4.622238531201457,-83.19815388207152
6.478948077510147,-83.95726933397783,2.5714929345081825,-84.42967711648134,4.525220506009164,-84.19347322522958
6.381458374260813,-84.95254095470902,2.4778915456491752,-85.42534473292748,4.429674959954994,-85.18894284381825
6.283968671011476,-85.94781257544022,2.3842901567901675,-86.42101234937361,4.334129413900822,-86.18441246240693
6.186478967762142,-86.9430841961714,2.290688767931157,-87.41667996581977,4.23858386784665,-87.17988208099558
6.088989264512808,-87.93835581690259,2.1970873790721495,-88.4123475822659,4.143038321792479,-88.17535169958424
5.991499561263474,-88.93362743763376,2.1034859902131404,-89.40801519871204,4.0474927757383075,-89.1708213181729
5.899517745205836,-89.92941995172019,2.005628677951575,-90.40327067695968,3.952573211578706,-90.16634531433994
5.808697617705301,-90.92532232932219,1.9064440587157712,-91.39839762049148,3.857570838210536,-91.16185997490683
5.717877490204765,-91.92122470692418,1.8072594394799684,-92.39352456402325,3.7625684648423667,-92.15737463547372
5.627057362704228,-92.91712708452617,1.7080748202441658,-93.38865150755504,3.667566091474197,-93.1528892960406
